IAUNAME,SOURCEID,VARID,FIELDID,CUEVENTID,RA2000,DEC2000,CEPHTYPE,CEPHSUBTYPE,CEPHMODE,PERIOD,YNEPOCHS,YMEANMAG,YMAGERR,YAMPL,YAMPLERR,JNEPOCHS,JMEANMAG,JMAGERR,JAMPL,JAMPLERR,KSNEPOCHS,KSMEANMAG,KSMAGERR,KSAMPL,KSAMPLERR,NOTES,ORIGVSAREL,ORIGVSASOURCEID,CATALOGUE,EXTERNALID
VMC J051418.11-691234.92,558354950387.0,8327.0,LMC_6_4,871.0,78.57545833333334,-69.20972222222223,T2CEP,'RV Tau',NONE,48.23170471191406,,,,,,4.0,13.175999641418457,0.02199999988079071,0.20000000298023224,,14.0,12.262999534606934,0.052000001072883606,0.1899999976158142,,NONE,VMCv20130805,558355160313.0,OGLE-IV,OGLE-LMC-T2CEP-067
VMC J051629.10-692408.93,558355099667.0,8333.0,LMC_6_4,871.0,79.12120833333334,-69.4025,T2CEP,'pW Vir',NONE,6.716293811798096,,,,,,4.0,15.348999977111816,0.01600000075995922,0.15000000596046448,,14.0,14.763999938964844,0.010999999940395355,0.14000000059604645,,NONE,VMCv20130805,558355301964.0,OGLE-IV,OGLE-LMC-T2CEP-078
VMC J051858.85-692647.65,558355132760.0,8382.0,LMC_6_4,871.0,79.74520833333334,-69.44661111111111,ACEP,NONE,F,1.2579820156097412,,,,,,,,,,,23.0,16.38800048828125,0.02199999988079071,0.12999999523162842,,NONE,VMCv20130805,558355324744.0,OGLE-IV,OGLE-LMC-ACEP-036
VMC J051356.44-693158.35,558355227157.0,8321.0,LMC_6_4,871.0,78.48512500000001,-69.53286111111112,T2CEP,'RV Tau',NONE,34.91655349731445,,,,,,4.0,,,,,14.0,,,,,NONE,VMCv20130805,558355423319.0,OGLE-IV,OGLE-LMC-T2CEP-200
VMC J050634.06-693003.67,558355253347.0,8335.0,LMC_6_4,871.0,76.64191666666667,-69.50102777777778,T2CEP,'RV Tau',NONE,63.38633728027344,,,,,,4.0,13.097999572753906,0.024000000208616257,0.1599999964237213,,14.0,12.663999557495117,0.020999999716877937,0.15000000596046448,,NONE,VMCv20130805,558355447114.0,OGLE-IV,OGLE-LMC-T2CEP-045
VMC J051119.35-693432.25,558355276659.0,8337.0,LMC_6_4,871.0,77.83062500000001,-69.5756388888889,T2CEP,'W  Vir',NONE,7.289638042449951,,,,,,4.0,15.96500015258789,0.017000000923871994,0.1599999964237213,,14.0,15.522000312805176,0.004000000189989805,0.15000000596046448,,NONE,VMCv20130805,558355469354.0,OGLE-IV,OGLE-LMC-T2CEP-056
VMC J051621.44-693659.23,558355285596.0,8310.0,LMC_6_4,871.0,79.08933333333333,-69.61644444444443,T2CEP,'BL Her',NONE,1.2138019800186157,,,,,,4.0,17.520999908447266,0.04500000178813934,0.18000000715255737,,14.0,17.316999435424805,0.02500000037252903,0.17000000178813934,,NONE,VMCv20130805,558355472930.0,OGLE-IV,OGLE-LMC-T2CEP-077
VMC J050921.86-693602.84,558355310302.0,8319.0,LMC_6_4,871.0,77.34116666666665,-69.60083333333331,T2CEP,'BL Her',NONE,3.2352750301361084,,,,,,4.0,16.358999252319336,0.014999999664723873,0.25,,14.0,15.925999641418457,0.009999999776482582,0.23999999463558197,,NONE,VMCv20130805,558355501190.0,OGLE-IV,OGLE-LMC-T2CEP-049
VMC J051821.65-694045.12,558355320157.0,8328.0,LMC_6_4,871.0,79.59016666666666,-69.67922222222222,T2CEP,'W  Vir',NONE,5.18497896194458,,,,,,11.0,16.302000045776367,0.013000000268220901,0.30000001192092896,,23.0,15.859000205993652,0.014999999664723873,0.3100000023841858,,NONE,VMCv20130805,558355510541.0,OGLE-IV,OGLE-LMC-T2CEP-087
VMC J051319.14-693858.00,558355323511.0,8331.0,LMC_6_4,871.0,78.32966666666667,-69.64933333333335,T2CEP,'W  Vir',NONE,6.046676158905029,,,,,,4.0,16.059999465942383,0.01899999938905239,0.05000000074505806,,14.0,15.430999755859375,0.003000000026077032,0.05000000074505806,,NONE,VMCv20130805,558355513592.0,OGLE-IV,OGLE-LMC-T2CEP-062
VMC J050746.53-693700.34,558355334596.0,8336.0,LMC_6_4,871.0,76.943875,-69.61674999999998,T2CEP,'W  Vir',NONE,7.286211967468262,,,,,,4.0,15.942999839782715,0.017999999225139618,0.14000000059604645,,14.0,15.51099967956543,0.010999999940395355,0.12999999523162842,,NONE,VMCv20130805,558355524174.0,OGLE-IV,OGLE-LMC-T2CEP-047
VMC J051456.79-694023.13,558355336204.0,8306.0,LMC_6_4,871.0,78.73654166666667,-69.67288888888889,T2CEP,'BL Her',NONE,1.0212539434432983,,,,,,4.0,17.04199981689453,0.032999999821186066,0.10000000149011612,,14.0,16.584999084472656,0.020999999716877937,0.10000000149011612,,NONE,VMCv20130805,558355522273.0,OGLE-IV,OGLE-LMC-T2CEP-069
VMC J051817.80-694327.66,558355355739.0,8315.0,LMC_6_4,871.0,79.57416666666668,-69.7243611111111,T2CEP,'W  Vir',NONE,15.845499992370605,,,,,,11.0,15.02400016784668,0.010999999940395355,0.7900000214576721,,23.0,14.586000442504883,0.017000000923871994,0.800000011920929,,NONE,VMCv20130805,558355544575.0,OGLE-IV,OGLE-LMC-T2CEP-086
