ra dec parallax parallax_error
355.56801670  24.91609719  -0.07612161   0.33644716
 18.60892079  24.41548765   1.43541565   0.29530578
  5.92950840  29.40092877   1.76546472   0.26120298
107.89590136  40.77695655   0.83719846   0.30724008
230.60573505 -40.92679669   2.74307707   0.23627784
247.66978660  18.36690893   0.90407325   0.24213984
177.23425633 -10.44141360   0.63308995   0.47080171
285.55032154 -46.65384094   1.42714411   0.30962053
206.63079049 -84.40171012   1.13466950   0.23169445
118.43102298  19.27319703   0.71263755   0.28933474
209.69308026  12.95159924   0.21477822   0.25960563
110.38971254  30.88318861   0.74165236   0.25920472
 26.24858604 -30.05942271   0.43962297   0.32273748
109.32986188   1.72779248   0.81946983   0.23064935
294.51408632 -60.61101477   0.67193258   0.38306870
110.14817500 -46.70835603   1.19292854   0.21385822
182.14595616  -0.45676283   1.35212752   0.31567661
122.11754382 -16.53324849   0.77273500   0.26332483
 19.62797257 -67.91816120   0.84990912   0.25888468
221.89683444  16.84527305   1.21132182   0.26417315
275.65821711  32.95919588   0.59448476   0.22432070
200.88885619 -16.66626300   0.58981708   0.40913775
343.25421507  15.78768233   1.39778364   0.22110404
 14.54050022 -63.39573636   0.71863177   0.24981273
222.93601801  60.06903716   0.32393886   0.23407356
214.15239926  42.35977952   0.75552716   0.23254662
 47.12896832  10.44552275   2.02472424   0.22278139
289.58597082  66.41344333   0.70378739   0.43366072
287.42762803  64.85894176   1.42797771   0.20857829
172.45170636  30.06710483   1.46806226   0.31271098
258.26658641  35.97854172   0.81306519   0.34707841
317.87416072 -45.07490512   1.10396586   0.27261744
203.32515631  53.98720996   0.74134651   0.23092262
201.19997610  -6.97940386   0.65071237   0.43036157
218.38841312  31.75461252   1.51637945   0.27961706
246.17171949  -6.54161820   1.90111523   0.46141772
184.44396537  69.51059011   1.00930072   0.23141922
324.03878321 -77.30388010   0.44003882   0.26538355
201.55557215  56.25696411   0.41501809   0.34461349
328.01170808  22.57479140   1.52544201   0.22891660
291.36568177  42.78354310   3.63863348   0.23347159
273.57913980  76.68578887   0.54263065   0.23328722
 52.59330717 -36.05377958   0.77188047   0.26753079
174.50847793  16.54333040   0.53297894   0.27627103
154.02078244 -29.72865845   0.82801552   0.22792308
248.10410615 -83.90341794   2.01614584   0.22535023
208.81159624 -43.24032489   0.80325347   0.73344767
217.04069506   6.54553481   0.64727654   0.35682322
244.85760306  29.71312091   0.49848628   0.28180420
 23.84877537 -35.12860871   0.69704134   0.23909132
206.26230558  32.65464172   0.64880768   0.25573774
135.78195297  44.58541191   1.52942942   0.40093807
315.37038447 -15.22991532   0.27501908   0.26793066
325.31992745  24.77344984   1.43702700   0.67052891
281.98989346 -37.73970052   0.85713330   0.27141003
  8.40938753 -15.48769189   0.99686827   0.32462487
 93.31143008 -37.25011871   0.41914896   0.22863789
 78.78261811 -41.62815316   1.53510183   0.40243386
 73.40646588 -19.43362619   0.67453400   0.30226877
 47.96717332 -11.35411795   1.33609677   0.26270156
182.81068523  47.82876259   0.93481019   0.26620098
